designation,source_id,ra,dec,parallax,pmra,pmdec,ruwe,phot_g_mean_mag,bp_rp,bp_g,radial_velocity,phot_variable_flag,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot,azero_gspphot,ag_gspphot,ebpminrp_gspphot
Gaia DR3 604943601022078208,604943601022078208,133.03215161834848,11.920415108647786,0.6232575528399948,-5.793566655519956,-5.179540954483566,0.99655014,20.57974,1.9112415,0.78515625,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 604943639676920448,604943639676920448,133.03546270485344,11.92790698269053,1.2228289462132125,-6.193771583281485,5.695018617250449,1.0869509,12.903277,0.912261,0.37351704,0.66722536,NOT_AVAILABLE,0,true,true,true,false,false,true,true,5589.281,3.7305,-0.3413,934.4489,0.1213,0.1004,0.0537
Gaia DR3 604943639677052800,604943639677052800,133.02380644184404,11.929080337054682,0.2822590673514665,-6.578901862967386,-2.155504991539242,1.0231278,18.947796,1.9050179,0.9324589,,NOT_AVAILABLE,0,false,false,false,false,false,true,false,3510.8367,4.6685,-1.2117,571.0154,0.0176,0.0122,0.0067
Gaia DR3 604943674036665472,604943674036665472,133.010271714037,11.92616104979336,1.2610981089409536,-11.056988078366334,-2.569725890011453,1.4451666,14.59748,0.9039612,0.3677969,42.69966,NOT_AVAILABLE,0,false,false,false,false,false,true,true,5529.906,4.5329,-0.3698,675.2612,0.0567,0.0468,0.025
Gaia DR3 604943674036806272,604943674036806272,133.01162636006575,11.936039457160845,0.21532586010903665,-4.340014205176169,-1.0021643596481962,0.8744094,20.44058,1.2564964,0.5681,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 604943708397020160,604943708397020160,133.01474563207915,11.936425482432465,,,,,21.088802,1.3851242,0.45167542,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 604943772826188544,604943772826188544,133.05622237211028,11.953672998265562,1.1195657758962287,-8.774557204589549,-6.490725194179162,1.0287229,17.00741,1.756176,0.83968735,,NOT_AVAILABLE,0,true,false,false,false,false,true,true,4246.261,4.6239,0.1288,713.7775,0.554,0.4019,0.2168
Gaia DR3 604943777115868672,604943777115868672,133.05497833219505,11.950150963252927,0.8038983819331844,-7.239900632112072,-5.979412585149786,1.0823561,17.465374,1.3733635,0.6227684,,NOT_AVAILABLE,0,true,false,false,false,false,true,true,4446.7104,4.629,-0.0079,1238.9141,0.0366,0.0278,0.0146
Gaia DR3 604943777115869184,604943777115869184,133.05448380987482,11.949467421429787,0.7640248337448311,1.7274546082955438,-6.99490343827051,1.0243238,19.326015,1.7029114,0.8471947,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 604943777116072576,604943777116072576,133.06463960984405,11.946929225800773,,,,,21.17195,1.7195511,0.2964859,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 604943841539891200,604943841539891200,133.04747325090588,11.959730391983593,0.15570683209764807,1.2064474194935426,-6.753669694558614,1.022364,17.770334,0.6902199,0.26670456,,NOT_AVAILABLE,0,false,false,false,false,false,true,true,6071.908,4.6788,-2.7522,2902.2173,0.0064,0.0055,0.003
Gaia DR3 604943845835346304,604943845835346304,133.04774719727814,11.957858740004706,0.6745684709397092,-0.16615710462436822,4.821260107231958,0.9300426,16.762325,1.4056292,0.64226913,,NOT_AVAILABLE,0,true,false,false,false,false,true,true,4493.8335,4.6513,0.1979,905.8356,0.0817,0.0617,0.0324
Gaia DR3 604943875899622912,604943875899622912,132.9978977378054,11.944915446196967,1.0383607009783504,-2.9012330332208953,1.2063810062756732,0.9857751,20.104895,1.8596916,0.7999115,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 604943875904686976,604943875904686976,133.00717372986276,11.936205741483164,-1.013097562085404,-1.5716316974449605,-12.678067530062833,1.0500323,20.817026,1.6798439,-0.161232,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 604943880195096320,604943880195096320,133.0016787318734,11.935279430301359,1.169331637872779,-11.159537043099313,-2.915426036728221,0.93664396,14.196356,0.83211994,0.33352757,30.910107,NOT_AVAILABLE,0,false,false,false,false,false,true,true,5727.6255,4.3752,-0.1555,766.9429,0.0825,0.0691,0.037
